Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,source,library
prerank,positive regulation of natural killer cell activation (GO:0032816),-0.3569407389374146,-0.9434880459254531,0.5483870967741935,1.0,1.0,2/15,2.75%,IL23R;IL23A,GOBP,GO_Biological_Process_2021
prerank,cytoskeleton-dependent cytokinesis (GO:0061640),-0.2830315626089336,-0.9508101632817131,0.6020408163265306,1.0,1.0,24/56,37.54%,SNX9;ANK3;SPTBN1;EFHC2;RACGAP1;RASA1;STAMBP;SON;TTC19;KIF23;SNX18;CECR2;PDCD6IP;SPAST;EFHC1;KIF20A;IST1;CUL7;ROPN1B;APC;MYH10;ROCK1;ROCK2;USP8,GOBP,GO_Biological_Process_2021
prerank,cellular response to interleukin-7 (GO:0098761),-0.33833633619573167,-0.96093898176282,0.5824175824175825,1.0,1.0,2/16,1.38%,IL7R;IRS1,GOBP,GO_Biological_Process_2021
prerank,interleukin-7-mediated signaling pathway (GO:0038111),-0.33833633619573167,-0.96093898176282,0.5824175824175825,1.0,1.0,2/16,1.38%,IL7R;IRS1,GOBP,GO_Biological_Process_2021
prerank,positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002824),-0.38734314050270385,-0.9618802667814628,0.5111111111111111,1.0,1.0,2/12,2.75%,IL23R;IL23A,GOBP,GO_Biological_Process_2021
prerank,positive regulation of immunoglobulin mediated immune response (GO:0002891),-0.41536252204243473,-0.9696686879520497,0.4772727272727273,1.0,1.0,5/10,20.49%,TNFSF4;RIF1;TP53BP1;PAXIP1;CD226,GOBP,GO_Biological_Process_2021
prerank,regulation of leukocyte adhesion to vascular endothelial cell (GO:1904994),-0.3954025635164389,-0.9760382295444298,0.5393258426966292,1.0,1.0,4/11,20.87%,ETS1;ZDHHC21;NFAT5;TRAF6,GOBP,GO_Biological_Process_2021
prerank,positive regulation of lymphocyte differentiation (GO:0045621),-0.3055292376797829,-0.8399015023094951,0.75,1.0,1.0,10/19,46.35%,CD27;RHOH;SYK;BTK;ZBTB1;NCKAP1L;IL4;XBP1;AXL;XRCC6,GOBP,GO_Biological_Process_2021
prerank,positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target (GO:0002860),-0.4418182885187055,-0.840997095674833,0.7012987012987013,1.0,1.0,2/5,32.11%,CD226;CRTAM,GOBP,GO_Biological_Process_2021
prerank,positive regulation of natural killer cell mediated immune response to tumor cell (GO:0002857),-0.4418182885187055,-0.840997095674833,0.7012987012987013,1.0,1.0,2/5,32.11%,CD226;CRTAM,GOBP,GO_Biological_Process_2021
prerank,regulation of immune effector process (GO:0002697),-0.2609169431370627,-0.8470732762872555,0.7244897959183674,1.0,1.0,3/40,1.83%,CR2;CD19;SUSD4,GOBP,GO_Biological_Process_2021
prerank,myeloid leukocyte mediated immunity (GO:0002444),-0.3779342723004695,-0.8528610437631529,0.6941176470588235,1.0,1.0,8/8,62.23%,IRAK4;ADAM17;IL6;KMT2E;ACE;PLA2G1B;CARD9;SERPINB9,GOBP,GO_Biological_Process_2021
prerank,regulation of interleukin-18 production (GO:0032661),-0.3743450401548554,-0.853926383931539,0.7108433734939759,1.0,1.0,3/8,33.58%,DHX9;NLRP9;CD84,GOBP,GO_Biological_Process_2021
prerank,regulation of leukocyte degranulation (GO:0043300),-0.36076462752816585,-0.8561607168841735,0.6477272727272727,1.0,1.0,4/8,30.70%,BLK;SYK;FER;C12orf4,GOBP,GO_Biological_Process_2021
prerank,positive regulation of myeloid leukocyte cytokine production involved in immune response (GO:0061081),-0.3331427812919039,-0.86103131377338,0.7282608695652174,1.0,1.0,4/14,20.39%,CAMK4;KIT;GPRC5B;MAVS,GOBP,GO_Biological_Process_2021
prerank,regulation of interleukin-1 production (GO:0032652),-0.30299962022815624,-0.866572038124044,0.6888888888888889,1.0,1.0,4/16,26.17%,CCR7;TMED10;TLR4;FOXP1,GOBP,GO_Biological_Process_2021
prerank,negative regulation of interleukin-12 production (GO:0032695),-0.31635767957841254,-0.8712427444946403,0.6419753086419753,1.0,1.0,3/14,14.83%,CCR7;SLAMF1;PIBF1,GOBP,GO_Biological_Process_2021
prerank,positive regulation of myeloid leukocyte mediated immunity (GO:0002888),-0.3471499553709647,-0.8713892606011252,0.6627906976744186,1.0,1.0,2/12,2.66%,CAMK4;STAP1,GOBP,GO_Biological_Process_2021
prerank,positive regulation of leukocyte activation (GO:0002696),-0.326778439385694,-0.8783040799409322,0.6511627906976745,1.0,1.0,4/13,26.83%,CD226;TLR4;HAVCR1;HSPD1,GOBP,GO_Biological_Process_2021
prerank,positive regulation of leukocyte cell-cell adhesion (GO:1903039),-0.3227210367769321,-0.9782728313888339,0.5591397849462365,1.0,1.0,9/27,32.67%,SIRPG;ETS1;CD47;NFAT5;TRAF6;HSPD1;CCR2;CD44;PRKCQ,GOBP,GO_Biological_Process_2021
prerank,interleukin-35-mediated signaling pathway (GO:0070757),-0.40899601464009006,-0.9824270557473921,0.48863636363636365,1.0,1.0,3/11,20.79%,IL6ST;IL12RB2;JAK1,GOBP,GO_Biological_Process_2021
prerank,regulation of adaptive immune response (GO:0002819),-0.35565837268212275,-0.9987895759280669,0.47191011235955055,1.0,1.0,5/18,19.12%,IL6ST;EIF2AK4;TNFSF4;AHR;ADCY7,GOBP,GO_Biological_Process_2021
prerank,immune response-activating cell surface receptor signaling pathway (GO:0002429),-0.2599333320322862,-0.80677005920908,0.7634408602150538,1.0,1.0,2/23,3.88%,CD19;BLK,GOBP,GO_Biological_Process_2021
prerank,myeloid cell differentiation (GO:0030099),-0.24512184937063528,-0.8080432433663329,0.8144329896907216,1.0,1.0,21/48,44.17%,KIT;TAL1;UFL1;IKZF1;MFHAS1;FLVCR1;HSPA9;TET2;SNRK;UBA5;KAT6A;NCOA6;ZBTB16;DYRK3;TIRAP;CEBPE;JAK2;CASP3;JAK3;PTPN2;PRDX3,GOBP,GO_Biological_Process_2021
prerank,regulation of myeloid cell differentiation (GO:0045637),-0.23949607444741028,-0.8120153250828978,0.8484848484848485,1.0,1.0,35/64,51.16%,L3MBTL1;WDR61;MEF2C;HSPA9;CDK6;MEIS1;TNRC6A;EP300;PRMT6;TNRC6C;RBBP5;KMT2C;CNOT4;KMT2A;CDC73;PRKCQ;RBM15;CTR9;ZBTB16;KMT2D;TNRC6B;SIN3A;PURB;AGO1;LEO1;KAT2B;PF4;KMT2E;HDAC1;GP1BA;AGO3;LYN;PTK2B;FES;CREBBP,GOBP,GO_Biological_Process_2021
prerank,negative regulation of cytokine production involved in inflammatory response (GO:1900016),-0.2782815634728106,-0.8126501595768745,0.7444444444444445,1.0,1.0,9/18,43.21%,ABCD2;PDCD4;ADCY7;CHID1;NLRC3;MEFV;TREM2;APOD;APPL2,GOBP,GO_Biological_Process_2021
prerank,positive regulation of immune response (GO:0050778),-0.24076678515977396,-0.816759048514617,0.8163265306122449,1.0,1.0,10/68,9.54%,CCR7;IL6ST;IL23R;IL23A;GPR151;EIF2AK4;MYB;DHX9;TNFSF4;POLR3B,GOBP,GO_Biological_Process_2021
prerank,response to cytokine (GO:0034097),-0.22867914455451777,-0.8207578542550997,0.88,1.0,1.0,31/135,27.64%,CCR7;LEF1;AFF3;LDLRAP1;IL6ST;AKAP6;PRKCA;IL23R;PTPN13;CD40;BCL2;MAPK8;CYP27B1;MAP4K3;CIITA;KLHL20;IFNAR2;SMAD3;TRIM56;TRIM32;NFAT5;YTHDC2;IFNLR1;TRAF6;IKBKE;PID1;IGBP1;SETD2;SRC;GGT7;IL6R,GOBP,GO_Biological_Process_2021
prerank,regulation of leukocyte chemotaxis (GO:0002688),-0.30325128956392666,-0.822464832727485,0.75,1.0,1.0,11/16,50.24%,MTUS1;SLC8B1;F2RL1;IL6R;F7;ADAM17;IL6;CAMK1D;MST1;LYN;PTK2B,GOBP,GO_Biological_Process_2021
prerank,negative regulation of production of molecular mediator of immune response (GO:0002701),-0.3502860551398207,-0.8230425495085584,0.7380952380952381,1.0,1.0,1/8,0.88%,CD22,GOBP,GO_Biological_Process_2021
prerank,leukocyte tethering or rolling (GO:0050901),-0.2974775718935757,-0.8231731870201919,0.7362637362637363,1.0,1.0,2/17,1.50%,ADD2;PODXL2,GOBP,GO_Biological_Process_2021
prerank,anterograde dendritic transport of neurotransmitter receptor complex (GO:0098971),-0.41796565412914577,-0.8236667678258087,0.7887323943661971,1.0,1.0,4/5,41.84%,KIF5C;KIF5B;KIF3B;KIF5A,GOBP,GO_Biological_Process_2021
prerank,anterograde dendritic transport (GO:0098937),-0.41796565412914577,-0.8236667678258087,0.7887323943661971,1.0,1.0,4/5,41.84%,KIF5C;KIF5B;KIF3B;KIF5A,GOBP,GO_Biological_Process_2021
prerank,regulation of T cell cytokine production (GO:0002724),-0.2639970493285279,-0.7580226482333621,0.6923076923076923,1.0,1.0,5/19,28.61%,MALT1;TNFSF4;TRAF6;CCR2;MAP3K7,GOBP,GO_Biological_Process_2021
prerank,regulation of leukocyte mediated cytotoxicity (GO:0001910),-0.3241171435390293,-0.7659380317516951,0.7468354430379747,1.0,1.0,5/9,48.89%,DNASE1L3;LEP;PIK3R6;DNASE1;NOS2,GOBP,GO_Biological_Process_2021
