cohort,n_rll,n_ryc,composite_d,welch_p,mw_p,rll_top_half,rll_mean_z,ryc_mean_z
internal,120,120,1.0644230406519313,1.1827745614677524e-14,1.8522304838310887e-13,0.6833333333333333,0.3992736413737678,-0.3992736413737674
gtex_blood,32,32,0.3090381081212024,0.22158924558315254,0.10280611414166664,0.5625,0.13857552774000903,-0.13857552774000897
gtex_muscle,29,29,0.3630013279393286,0.172746249632112,0.17115119667688694,0.5862068965517241,0.16313754583714654,-0.16313754583714643
cohort2,41,17,1.1435141854797999,3.949559711792328e-05,0.0002565531047436885,0.6829268292682927,0.2506650964991747,-0.45919266583120294
