group,sex,n,AA_mean,AA_sd
RYC,M,87,6.510355827643679,13.569213606341878
RYC,F,75,6.680633302133334,11.881384570211388
RLL,M,55,-7.080219981454546,12.369106289340316
RLL,F,107,-8.621246668971962,12.125151133990524
