Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,source,library
prerank,African trypanosomiasis,0.3296163622095473,1.612261107944277,0.0,0.11244158878504672,0.13,6/35,3.07%,HBA2;FASLG;VCAM1;HBA1;IFNG;APOL1,KEGG,KEGG_2021_Human
prerank,Complement and coagulation cascades,0.2805308350305635,1.5958296966089551,0.0,0.10708722741433022,0.14,15/64,8.84%,C8G;F2R;F3;C1QC;CFD;SERPINA1;SERPING1;PLAUR;PLG;F12;ITGB2;C4BPB;C5AR1;F8;CLU,KEGG,KEGG_2021_Human
prerank,"Neomycin, kanamycin and gentamicin biosynthesis",-0.7479244435564574,-1.5729324323458445,0.05063291139240506,0.21035580403309204,0.65,3/5,14.68%,GCK;HKDC1;HK2,KEGG,KEGG_2021_Human
prerank,Systemic lupus erythematosus,0.24899503868856213,1.519008456945691,0.0,0.1413551401869159,0.17,11/45,11.10%,C8G;C1QC;FCGR1A;IFNG;HLA-DRA;ACTN4;SNRPB;HLA-DMA;FCGR3A;HLA-DQB1;TRIM21,KEGG,KEGG_2021_Human
prerank,Cocaine addiction,0.21169537937518088,1.5077880290864516,0.0,0.13434579439252337,0.17,8/45,5.49%,RGS9;GRM2;MAOB;GNAI2;JUN;FOSB;PRKACA;GNAS,KEGG,KEGG_2021_Human
prerank,Starch and sucrose metabolism,-0.5185550738316103,-1.504693113419857,0.011111111111111112,0.3552675801447777,0.87,12/25,26.91%,ENPP1;GCK;HKDC1;AGL;PGM2;GYS2;HK2;PGM2L1;GBE1;PYGL;PYGB;GANC,KEGG,KEGG_2021_Human
prerank,Malaria,0.22412112032793846,1.492650098138577,0.0,0.13921339563862928,0.2,8/49,6.45%,HBA2;VCAM1;HBA1;IFNG;TGFB1;CD81;ITGB2;MYD88,KEGG,KEGG_2021_Human
prerank,Butanoate metabolism,-0.4828851595285862,-1.4670738718248624,0.0625,0.4858723285074112,0.96,10/23,26.78%,ALDH5A1;ACSM3;AACS;BDH2;BDH1;OXCT1;ABAT;HADHA;ACSM1;HMGCS1,KEGG,KEGG_2021_Human
prerank,Proteasome,0.25075307135858604,1.4534870941925946,0.0,0.1779295470884256,0.27,43/44,67.92%,PSMB8;IFNG;PSMA7;PSMC5;PSMC1;PSMB9;PSMA4;PSMB3;ADRM1;PSMD4;PSME1;PSME2;PSMD9;PSMB2;POMP;PSMB10;PSMF1;PSMB1;PSMD8;PSMB6;PSMC3;PSMB4;PSMC4;PSMA6;PSMD3;PSME3;PSMD13;PSMD11;PSMD2;PSMD7;PSMC6;PSMB7;PSMA5;PSMA2;PSMC2;PSMD1;PSMB5;PSMA1;PSMD12;PSMA3;PSMD6;PSME4;PSMD14,KEGG,KEGG_2021_Human
prerank,Homologous recombination,-0.44361058875158427,-1.4406644067822303,0.02040816326530612,0.5828039592258827,0.99,29/37,50.04%,RAD54B;ATM;RPA3;BRCC3;RAD50;RAD52;POLD3;PALB2;EME1;RPA1;TOPBP1;RAD51D;RAD51C;BRCA1;XRCC2;RPA4;RAD51B;BARD1;BLM;RPA2;RBBP8;BRCA2;UIMC1;POLD2;XRCC3;TOP3A;SSBP1;NBN;POLD1,KEGG,KEGG_2021_Human
prerank,Nucleotide excision repair,-0.434943341687385,-1.4362574940583845,0.010416666666666666,0.536513540589452,0.99,31/45,46.73%,GTF2H3;ERCC4;XPA;RPA3;ERCC8;ERCC5;LIG1;RFC3;POLD3;POLE2;GTF2H1;ERCC6;RFC1;CUL4B;GTF2H5;RPA1;POLE3;DDB1;RFC5;RPA4;RAD23B;RPA2;CDK7;POLE;RFC4;ERCC3;CCNH;POLD2;CUL4A;MNAT1;ERCC2,KEGG,KEGG_2021_Human
prerank,Mismatch repair,-0.4727574946264967,-1.4123659373712079,0.03260869565217391,0.6025005745145352,1.0,19/23,50.04%,MSH2;MSH6;MLH3;RPA3;PMS2;LIG1;MLH1;RFC3;POLD3;RFC1;RPA1;RFC5;RPA4;RPA2;RFC4;POLD2;MSH3;SSBP1;POLD1,KEGG,KEGG_2021_Human
