model,cohen_d_cohort2,cohen_d_internal,delta_aa_cohort2,delta_aa_internal,spearman_age_aa_cohort2,spearman_age_aa_internal,decay_pct
CRANE-Z,-1.1331666437926768,-1.1761291750779128,-17.894387571953313,-14.68724658780864,-0.5428453664414705,-0.5384495224400045,3.652875227960395
Ridge,-0.4070572286586656,-1.170929105658988,-7.134363723316376,-14.671157920627913,-0.1161712792143377,-0.5317297145446225,65.236389915376
CLC-S,-0.6408671212089154,-1.1689798965746712,-12.4278944393722,-14.654022223259224,-0.1620543943572152,-0.5312442175603517,45.177233322251695
Lasso,-0.4504587849370454,-0.7022543897553445,-8.66264510238685,-10.275289970044396,-0.2459726236685918,-0.3527419827143878,35.855326572756795
KNN,-2.1940939582675,-3.142732593396546,-62.73968523107691,-41.27860082304527,-0.6559281971506113,-0.8670134363821154,30.185152790991786
DT,-1.425010796577902,-0.866478714141618,-38.53917220990391,-17.54368690932993,-0.5717784859899254,-0.4785755309839381,-64.45998883995631
