bucket,n,n_rll,n_ryc,mae,mae_sd,bias,rll_mae,rll_neg_frac
<50,144,0,144,11.03329704861111,9.133333324815283,6.7509755625,,
50-70,18,0,18,12.291521999999999,8.181538069503125,5.29488822222222,,
>=70,162,162,0,11.96199859876543,8.405585776252854,-8.098058635802468,11.96199859876543,0.7716049382716049
