cohort,path_a_slope,path_a_p,path_b_slope,path_b_p,indirect,sobel_z,sobel_p,ci_lo,ci_hi,spearman_immune_aa,spearman_p,immune_rll_mean,immune_ryc_mean,group_d_p
cohort2,0.012149031218311939,0.00030011636212916206,2.5112969386362987,0.36619128453971456,0.030509824905943596,0.004402776980689703,0.9964871035717111,-13.75406496780346,13.549931091924805,0.07166266569251645,0.5674557686826883,,,
internal,0.01524896015404867,1.185872849475969e-16,,,,,,,,,,0.3992736413737678,-0.3992736413737674,1.1827745614677524e-14
