clock,cohort,n_rll,n_ryc,delta_aa,cohen_d,spearman_age_aa,genes_used,genes_missing,aa_rll,aa_ryc
Peters2015,internal,120,120,-9.67013888888889,-0.5451083334356815,-0.3496636327569224,10753,954,-4.608125,5.062013888888888
Peters2015,gtex_blood,32,32,-46.14013671875,-1.6340195707280025,-0.6243382730021224,10753,954,-10.73876953125,35.4013671875
Peters2015,gtex_muscle,29,29,-44.1474435196195,-1.5544342628424201,-0.625472567598712,10753,954,-11.200356718192626,32.94708680142687
Peters2015,cohort2,41,17,-8.800313029868267,-0.5486949637899364,-0.08633226853984284,10738,969,-0.5694752402069471,8.23083778966132
