ablation,n_rll,n_ryc,delta_aa,cohen_d,spearman_age_aa
full,41,17,-8.262510325638015,-0.41915221020910154,-0.21620418676932762
NoImmune,41,17,-7.615147167514455,-0.3897469197022847,-0.23415269210281625
